     MetID    Y  M  D      TAM      NNM      UUM      FFM       RR
    888011 2009  4 11      5.7      7.0     67.0      3.5      0.5
    888011 2009  4 12      1.9      6.7     85.8      1.7      8.2
    888011 2009  4 13      1.4      2.7     72.9      1.8     13.9
    888011 2009  4 14      2.8      4.7     70.5      1.5      0.6
    888011 2009  4 15      4.3      4.0     68.1      1.6      0.6
    888011 2009  4 16      2.6      7.2     83.8      1.0      2.1
    888011 2009  4 17      3.4      3.2     69.2      1.7      2.9
    888011 2009  4 18      3.6      1.7     65.2      1.9      0.6
    888011 2009  4 19      3.8      4.7     70.3      1.9      0.3
    888011 2009  4 20      3.3      7.2     69.8      1.5      0.0
    888011 2009  4 21      3.2      5.7     71.4      1.5      0.2
    888011 2009  4 22      4.0      5.2     75.6      1.3      3.0
    888011 2009  4 23      4.1      5.0     65.1      2.0      1.0
    888011 2009  4 24      6.1      6.3     59.3      1.9      0.0
    888011 2009  4 25      5.9      4.2     57.3      2.1      0.7
    888011 2009  4 26      6.5      6.1     61.5      2.1      0.0
    888011 2009  4 27      3.9      6.0     82.2      1.6      3.9
    888011 2009  4 28      5.1      5.6     79.6      1.3      8.9
    888011 2009  4 29      6.0      6.9     71.9      2.9      0.5
    888011 2009  4 30      8.8      4.4     64.7      3.1      0.2
    888011 2009  5  1      9.3      5.6     62.8      2.3      0.1
    888011 2009  5  2      5.2      6.5     77.8      2.3      3.5
    888011 2009  5  3      3.5      6.2     70.6      1.7      3.7
    888011 2009  5  4      2.7      5.8     71.3      2.3      1.1
    888011 2009  5  5      2.2      6.7     77.7      3.4     23.1
    888011 2009  5  6      1.3      6.3     76.9      2.6     11.3
    888011 2009  5  7      2.4      6.7     74.2      3.9     11.8
    888011 2009  5  8      3.6      6.8     70.8      4.3     14.8
    888011 2009  5  9      2.4      6.6     78.1      3.3     22.3
    888011 2009  5 10      1.7      7.1     80.8      2.4     14.4
    888011 2009  5 11      3.3      3.3     58.1      2.4      4.4
    888011 2009  5 12      4.4      2.8     63.4      2.0      0.3
    888011 2009  5 13      6.3      5.4     57.3      1.8      0.0
    888011 2009  5 14      5.8      4.8     58.0      2.3      0.5
    888011 2009  5 15      7.2      1.1     45.5      2.9      0.0
    888011 2009  5 16      8.8      3.4     47.4      3.5      0.0
    888011 2009  5 17      8.9      5.9     46.1      3.9      0.4
    888011 2009  5 18      6.6      7.3     68.8      3.2      1.6
    888011 2009  5 19      5.3      7.4     81.7      1.8      3.5
    888011 2009  5 20      6.8      6.8     73.5      1.6      4.5
    888011 2009  5 21      6.8      6.7     75.1      1.5      6.5
    888011 2009  5 22      6.0      7.6     80.0      1.8      0.6
    888011 2009  5 23      8.0      5.8     69.5      1.8      3.9
    888011 2009  5 24      7.7      7.3     73.5      2.0      0.3
    888011 2009  5 25      7.6      6.4     70.8      1.9      0.1
    888011 2009  5 26      5.0      7.9     88.3      1.4      2.0
    888011 2009  5 27      2.6      7.3     82.0      3.3     33.6
    888011 2009  5 28      5.1      6.5     72.1      2.8     39.3
    888011 2009  5 29      8.2      5.3     69.9      1.5      0.2
    888011 2009  5 30     11.1      0.6     59.9      1.8      0.9
    888011 2009  5 31     10.9      0.8     57.0      1.8      0.7
    888011 2009  6  1     11.1      4.3     59.9      2.1      0.6
    888011 2009  6  2      7.7      4.6     58.1      3.8      0.2
    888011 2009  6  3      5.1      3.5     53.2      3.3      0.1
    888011 2009  6  4      5.3      4.7     51.6      2.8      0.0
    888011 2009  6  5      7.3      6.6     53.7      1.9      0.6
    888011 2009  6  6      7.2      2.7     56.6      2.2      0.8
    888011 2009  6  7      6.8      5.5     62.3      1.9      0.6
    888011 2009  6  8      6.2      6.4     73.3      1.3      0.1
